,Date,Close,Open,High,Low,Volume,Change
32,2013-11-06,2.23,2.2,2.23,2.2,99500.0,0.0
33,2013-11-07,2.23,2.19,2.24,2.19,119500.0,0.0
34,2013-11-08,2.23,2.22,2.23,2.22,27000.0,0.0045045045045044585
35,2013-11-11,2.22,2.21,2.22,2.2,88200.0,0.0
36,2013-11-12,2.22,2.22,2.22,2.22,50000.0,0.023041474654378113
37,2013-11-13,2.17,2.22,2.22,2.17,61000.0,-0.004587155963302836
38,2013-11-14,2.18,2.18,2.19,2.17,25500.0,0.004608294930875667
39,2013-11-15,2.17,2.16,2.26,2.14,844400.0,0.0
40,2013-11-18,2.17,2.22,2.25,2.16,691600.0,-0.004587155963302836
41,2013-11-19,2.18,2.18,2.2,2.18,224700.0,0.0092592592592593
42,2013-11-20,2.16,2.18,2.18,2.16,47200.0,0.0046511627906977715
43,2013-11-21,2.15,2.16,2.16,2.06,340900.0,0.0
44,2013-11-22,2.15,2.12,2.15,2.11,121600.0,0.023809523809523725
45,2013-11-25,2.1,2.14,2.14,2.1,48900.0,-0.004739336492890933
46,2013-11-26,2.11,2.12,2.15,2.1,64200.0,0.0
47,2013-11-27,2.11,2.1,2.12,2.1,35900.0,-0.018604651162790753
48,2013-11-28,2.15,2.11,2.15,2.11,33000.0,-0.022727272727272818
49,2013-11-29,2.2,2.16,2.2,2.16,80400.0,0.00917431192660545
50,2013-12-02,2.18,2.2,2.2,2.18,32600.0,0.013953488372093092
51,2013-12-03,2.15,2.16,2.16,2.15,57500.0,0.004672897196261516
52,2013-12-04,2.14,2.15,2.16,2.14,140000.0,-0.01834862385321101
53,2013-12-05,2.18,2.14,2.18,2.13,28100.0,0.013953488372093092
54,2013-12-06,2.15,2.15,2.15,2.15,71500.0,-0.0182648401826484
55,2013-12-09,2.19,2.14,2.19,2.13,17000.0,0.018604651162790642
56,2013-12-10,2.15,2.19,2.2,2.12,36700.0,-0.004629629629629761
57,2013-12-11,2.16,2.17,2.17,2.16,23000.0,0.014084507042253724
58,2013-12-12,2.13,2.15,2.15,2.12,22500.0,0.004716981132075304
59,2013-12-13,2.12,2.13,2.13,2.12,49600.0,-0.02752293577981657
60,2013-12-16,2.18,2.13,2.2,2.13,16300.0,0.013953488372093092
61,2013-12-17,2.15,2.17,2.17,2.15,20000.0,0.009389671361502261
62,2013-12-18,2.13,2.13,2.13,2.13,2600.0,-0.009302325581395321
63,2013-12-19,2.15,2.13,2.17,2.13,57500.0,0.0
64,2013-12-20,2.15,2.16,2.17,2.15,122000.0,0.0
65,2013-12-24,2.15,2.14,2.15,2.13,41700.0,0.009389671361502261
66,2013-12-26,2.13,2.14,2.15,2.13,11000.0,-0.009302325581395321
67,2013-12-27,2.15,2.15,2.15,2.14,30000.0,0.004672897196261516
68,2013-12-30,2.14,2.13,2.15,2.13,6000.0,-0.0046511627906975495
69,2013-12-31,2.15,2.14,2.15,2.14,65000.0,0.004672897196261516
70,2014-01-02,2.14,2.15,2.15,2.14,54000.0,0.0
71,2014-01-03,2.14,2.15,2.15,2.14,65700.0,-0.013824884792626668
72,2014-01-06,2.17,2.14,2.17,2.14,64200.0,-0.01363636363636378
73,2014-01-07,2.2,2.17,2.2,2.17,185000.0,-0.04347826086956508
74,2014-01-08,2.3,2.21,2.31,2.21,1060000.0,-0.0980392156862745
75,2014-01-09,2.55,2.32,2.6,2.3,2610000.0,-0.019230769230769384
76,2014-01-10,2.6,2.55,2.7,2.53,1860000.0,0.0
77,2014-01-13,2.6,2.62,2.69,2.6,1160000.0,-0.011406844106463754
78,2014-01-15,2.63,2.65,2.67,2.55,807700.0,0.015444015444015413
79,2014-01-16,2.59,2.6,2.61,2.46,1350000.0,0.07916666666666661
80,2014-01-20,2.4,2.59,2.59,2.39,461100.0,-0.020408163265306256
81,2014-01-21,2.45,2.35,2.46,2.33,184500.0,0.0
82,2014-01-22,2.45,2.44,2.45,2.44,98500.0,0.0
83,2014-01-23,2.45,2.41,2.45,2.41,22500.0,0.042553191489361764
84,2014-01-24,2.35,2.41,2.41,2.34,673800.0,0.017316017316017396
85,2014-01-27,2.31,2.35,2.35,2.3,135000.0,-0.012820512820512775
86,2014-01-28,2.34,2.32,2.35,2.32,65900.0,-0.025000000000000022
87,2014-01-29,2.4,2.33,2.4,2.33,755500.0,0.02127659574468077
88,2014-01-30,2.35,2.35,2.35,2.35,115300.0,-0.03292181069958855
89,2014-02-04,2.43,2.37,2.45,2.31,393500.0,0.03404255319148941
90,2014-02-05,2.35,2.44,2.45,2.35,319200.0,-0.02083333333333326
91,2014-02-06,2.4,2.38,2.4,2.36,56100.0,0.008403361344537785
92,2014-02-07,2.38,2.36,2.39,2.36,89000.0,-0.008333333333333304
93,2014-02-10,2.4,2.36,2.41,2.36,145000.0,0.012658227848101111
94,2014-02-11,2.37,2.4,2.4,2.37,61000.0,-0.008368200836820106
95,2014-02-12,2.39,2.39,2.39,2.38,10200.0,-0.008298755186721962
96,2014-02-13,2.41,2.39,2.44,2.38,420100.0,0.004166666666666874
97,2014-02-14,2.4,2.41,2.41,2.39,45500.0,0.02127659574468077
98,2014-02-17,2.35,2.38,2.38,2.35,119500.0,-0.012605042016806678
99,2014-02-18,2.38,2.35,2.41,2.35,47400.0,0.00421940928270037
100,2014-02-19,2.37,2.38,2.38,2.35,117100.0,0.012820512820512997
101,2014-02-20,2.34,2.35,2.35,2.33,100000.0,-0.004255319148936287
102,2014-02-21,2.35,2.36,2.39,2.35,18400.0,0.0
103,2014-02-24,2.35,2.35,2.36,2.34,146800.0,0.0
104,2014-02-25,2.35,2.34,2.35,2.34,155200.0,0.0
105,2014-02-26,2.35,2.35,2.38,2.34,567000.0,0.017316017316017396
106,2014-02-27,2.31,2.34,2.34,2.29,190900.0,0.004347826086956719
107,2014-02-28,2.3,2.35,2.35,2.3,180700.0,-0.021276595744680993
108,2014-03-03,2.35,2.3,2.35,2.3,277000.0,0.0
109,2014-03-04,2.35,2.35,2.36,2.35,249000.0,0.0
110,2014-03-05,2.35,2.36,2.36,2.35,280600.0,0.0
